0,Hindi Halamang Gamot,sdf,sdfs,sdf,sdfs,sdfs
12,Aratiles,asda,Mga Sakit na Nagagamot,sdasd,Paano Gamitin,sdad
13,Duhat,asda,Mga Sakit na Nagagamot,dasd,Paano Gamitin,sdad
14,Malunggay,"Ito ay isang uri ng maliit na puno na ang balat ng pinaka-katawan ay “gummy”, Maliit ang kulay puti at mabangong bulaklak. Ang bunga o prutas ay mahaba, pendulous at pod ang anyo na may tatlong anggulo.",Mga Sakit na Nagagamot,asdad,Paano Gamitin,sdad
15,Mangga,sadasda,Mga Sakit na Nagagamot,adasd,Paano Gamitin,asdaasd
16,Guyabano,"Ito ay isang maliit na puno na umaabot lamang sa 5 hanggang 7 metro ang taas. Ang dahon ay malapad, ang bulaklak ay katamtaman ang laki at nakakumpol sa tangkay. Ang prutas ay may maligasgas na balat at may malabulaklak na laman na nahahati sa mga pulp. Bawat hibla nito ay nagtataglay ng itim na buto. Maasim na manamis-namis ang makatas na laman ng prutas.",Mga Sakit na Nagagamot,ada,Paano Gamitin,sdad
17,Oregano,asdasdas,Mga Sakit na Nagagamot,sdad,Paano Gamitin,sdad
18,Sampaguita,"Ito ay isang uri ng shrub na bahagyang gumagapang paitaas. Ang bulaklak ay maliit, kulay puti at humahalimuyak sa bango, anyo ng tala o bituin ang pagkaayos o pagkakakumpol ng mga talulot. Ang dahon ay hugis puso na bahagyang makitid.",Mga Sakit na Nagagamot,dasd,Paano Gamitin,asdaasd
19,Santol,"Ito ay isang uri ng puno na may tuwid na katawan o trunk. Ang dahon ay nasa anyong tinatawag na “trifoliate”, mabuhok at eliptiko ang hugis. Marami ito kung mamulaklak na kulay mamerde-merdeng dilaw. Ang prutas ay malaki, bilugan at kulay magkahalong dilaw at brown kapag hinog na. Ang buto ay malaki at nababalot ng puti, makatas at maasim na laman.",Mga Sakit na Nagagamot,asdasd,Paano Gamitin,asdaasd
20,Suha,asda,Mga Sakit na Nagagamot,asdasd,Paano Gamitin,sdad
21,Kataka-taka,Ang buong katawan ng halamang ito ay makatas o matubig. Ang mga dahon ay malaman at ang gilid ay parang scallop. Sa gilid na ito tumutubo ang mumunting mga dahon o leaflets. Ang bulaklak ay kulay rosas na mamula-mula at nakakumpol sa tuktok ng tangkay.,Mga Sakit na Nagagamot,asdad,Paano Gamitin,sdad
22,Kaymito,asdasd,Mga Sakit na Nagagamot,asdas,Paano Gamitin,sdasd
23,Kamote,"Isang uri ito ng vine o halamang gumagapang. Ang mga sanga ay matigas na parang kahoy, ang mga ugat ay tumutubo mula sa nodes at nagiging malaki sa bahaging nakatanim o nakalubog sa lupa, ito ang malamang kamote. Ang mga dahon ay malalapad na hugis puso, ito ay kulay berde o kulay lila. Ang mga bulaklak ay malaki at tubular na kulay lila ang gitnang bahagi",Mga Sakit na Nagagamot,asdas,Paano Gamitin,asdaasd
24,Kangkong,Ito ay isang uri ng vine o halamang gumagapang sa lupa o sa tubig. Ang dahon ay hugis puso. Ang bulaklak ay malatubo na kulay puti at may kulay rosas o lila na corolla.,Mga Sakit na Nagagamot,asdad,Paano Gamitin,sdas
25,Okra,"ito ay isang uri ng ornamental herb. Ang dahon ay hugis maikling espada, makitid at buo ang margin. Ang bulaklak ay maliit , marami at nakakumpol na animo palong ng manok. Kulay pula, dilaw o lila ang kariniwang kulay ng bulaklak na nagtataglay ng maliit at itim na buto.",Mga Sakit na Nagagamot,asdad,Paano Gamitin,sdas
26,Pandan,"Ito ay isang uri ng malambot na shrub na nagtataglay ng maraming ugat mula sa pangunahing sanga. Ang dahon ay madulas, hugis espada, mabango at kawangis ng mga dahon ng pinya.",Mga Sakit na Nagagamot,sdasd,Paano Gamitin,asdaasd
27,Tanglad ,"Ito ay isang uri ng aromantikong damo. Ang dahon nito ay mahaba, makitid at patulis ang dulo. Sa sandaling pigain o pirasuhin ang dahon ay lumalabas ang aroma nitong kawangis ng aroma ng lemon.",Mga Sakit na Nagagamot,asdad,Paano Gamitin,asdaasd
28,Talisay,"Ito ay isang uri ng malaking puno na ang mga sanga ay tumutubo ng pahalang . Ang dahon ay malaki , makintab at makapal ang epidermis. Ang prutas ay maliit at malaman.",Mga Sakit na Nagagamot,asdas,Paano Gamitin,asdaasd
29,Sun Flower,"Ito ay isang uri ng shrub. Ang dahon nito ay malapad at hugis makitid na puso. Ang gilid na bahagi ay “toothed”. Ang bulaklak ay malaki, bilugan at binubuo ng kumpol ng mga talulot. Matingkad na dilaw ang kulay nito at nagtataglay ng maliliit na buto.",Mga Sakit na Nagagamot,sdasd,Paano Gamitin,asdaasd
30,siling labuyo,ito ay isang uri ng woody shrub na maraming sanga. Ang dahon ay hugis oblong-ovate at tulisan sa gawing itultok. Ang bulaklak ay maaring nagsosolo o nakakumpol sa tuktok ng isang tangkay na nakakonkta sa axil ng dahon. Ang maliit at kulay berdeng bunga o prutas ay nagiging kulay pula kapag hinog na. Ito ay nagtataglay ng matapang na aroma at maanghang na lasa.,Mga Sakit na Nagagamot,sdasda,Paano Gamitin,sdas
31,Sanging,Ang buong katawan ng halamang ito ay makatas o matubig. Ang mga dahon ay malaman at ang gilid ay parang scallop. Sa gilid na ito tumutubo ang mumunting mga dahon o leaflets. Ang bulaklak ay kulay rosas na mamula-mula at nakakumpol sa tuktok ng tangkay.,Mga Sakit na Nagagamot,sdasd,Paano Gamitin,asdaasd
32,Pinya ,"Ito ay isang uri ng pandak na herb at walang katawan at sanga. Ang dahon ay marami na direktang nagmumula sa lupa. Matinik ang gilid ng dahon, matibay at hugis espada. Ang malaking bunga o prutas ay tumutubo sa dulo ng halaman. Ang prutas ay malaman at makatas at maraming trayanggulo o ovate na “mata”. ",Mga Sakit na Nagagamot,asdad,Paano Gamitin,sdas
